Time,Strain,Metabolite,Concentration,Date,Number,OD600
0.0,WT,Adenine Hemi,0.00,10.7.22,1,0.01807
0.0,WT,Adenine Hemi,0.00,10.7.22,1,0.00783
0.0,WT,Adenine Hemi,0.03,10.7.22,1,0.02000
0.0,WT,Adenine Hemi,0.25,10.7.22,1,0.01653
0.0,WT,Adenine Hemi,0.50,10.7.22,1,0.01210
0.0,WT,Adenine Hemi,2.50,10.7.22,1,0.00697
0.0,WT,Adenine Hemi,5.00,10.7.22,1,0.00097
0.0,WT,Adenine Hemi,12.50,10.7.22,1,0.00077
0.0,WT,Adenine Hemi,25.00,10.7.22,1,0.01267
0.0,152,Adenine Hemi,0.00,10.7.22,1,0.00650
0.0,152,Adenine Hemi,0.00,10.7.22,1,0.00437
0.0,152,Adenine Hemi,0.03,10.7.22,1,0.00950
0.0,152,Adenine Hemi,0.25,10.7.22,1,0.01373
0.0,152,Adenine Hemi,0.50,10.7.22,1,0.01120
0.0,152,Adenine Hemi,2.50,10.7.22,1,0.00173
0.0,152,Adenine Hemi,5.00,10.7.22,1,0.00090
0.0,152,Adenine Hemi,12.50,10.7.22,1,0.00240
0.0,152,Adenine Hemi,25.00,10.7.22,1,0.00087
0.5,WT,Adenine Hemi,0.00,10.7.22,1,0.00703
0.5,WT,Adenine Hemi,0.00,10.7.22,1,0.01160
0.5,WT,Adenine Hemi,0.03,10.7.22,1,0.01587
0.5,WT,Adenine Hemi,0.25,10.7.22,1,0.02450
0.5,WT,Adenine Hemi,0.50,10.7.22,1,0.01893
0.5,WT,Adenine Hemi,2.50,10.7.22,1,0.00657
0.5,WT,Adenine Hemi,5.00,10.7.22,1,0.00127
0.5,WT,Adenine Hemi,12.50,10.7.22,1,0.00787
0.5,WT,Adenine Hemi,25.00,10.7.22,1,0.01150
0.5,152,Adenine Hemi,0.00,10.7.22,1,0.00273
0.5,152,Adenine Hemi,0.00,10.7.22,1,0.00447
0.5,152,Adenine Hemi,0.03,10.7.22,1,0.00760
0.5,152,Adenine Hemi,0.25,10.7.22,1,0.00593
0.5,152,Adenine Hemi,0.50,10.7.22,1,0.01720
0.5,152,Adenine Hemi,2.50,10.7.22,1,0.00220
0.5,152,Adenine Hemi,5.00,10.7.22,1,0.00137
0.5,152,Adenine Hemi,12.50,10.7.22,1,0.00267
0.5,152,Adenine Hemi,25.00,10.7.22,1,0.00127
1.0,WT,Adenine Hemi,0.00,10.7.22,1,0.00258
1.0,WT,Adenine Hemi,0.00,10.7.22,1,0.01674
1.0,WT,Adenine Hemi,0.03,10.7.22,1,0.01711
1.0,WT,Adenine Hemi,0.25,10.7.22,1,0.02334
1.0,WT,Adenine Hemi,0.50,10.7.22,1,0.01781
1.0,WT,Adenine Hemi,2.50,10.7.22,1,0.00904
1.0,WT,Adenine Hemi,5.00,10.7.22,1,0.00171
1.0,WT,Adenine Hemi,12.50,10.7.22,1,0.00808
1.0,WT,Adenine Hemi,25.00,10.7.22,1,0.01308
1.0,152,Adenine Hemi,0.00,10.7.22,1,0.00294
1.0,152,Adenine Hemi,0.00,10.7.22,1,0.00348
1.0,152,Adenine Hemi,0.03,10.7.22,1,0.00641
1.0,152,Adenine Hemi,0.25,10.7.22,1,0.00474
1.0,152,Adenine Hemi,0.50,10.7.22,1,0.01964
1.0,152,Adenine Hemi,2.50,10.7.22,1,0.00318
1.0,152,Adenine Hemi,5.00,10.7.22,1,0.00244
1.0,152,Adenine Hemi,12.50,10.7.22,1,0.00281
1.0,152,Adenine Hemi,25.00,10.7.22,1,0.00108
1.5,WT,Adenine Hemi,0.00,10.7.22,1,0.00274
1.5,WT,Adenine Hemi,0.00,10.7.22,1,0.00994
1.5,WT,Adenine Hemi,0.03,10.7.22,1,0.01454
1.5,WT,Adenine Hemi,0.25,10.7.22,1,0.02038
1.5,WT,Adenine Hemi,0.50,10.7.22,1,0.01618
1.5,WT,Adenine Hemi,2.50,10.7.22,1,0.00541
1.5,WT,Adenine Hemi,5.00,10.7.22,1,0.00211
1.5,WT,Adenine Hemi,12.50,10.7.22,1,0.00748
1.5,WT,Adenine Hemi,25.00,10.7.22,1,0.01201
1.5,152,Adenine Hemi,0.00,10.7.22,1,0.00338
1.5,152,Adenine Hemi,0.00,10.7.22,1,0.00338
1.5,152,Adenine Hemi,0.03,10.7.22,1,0.00568
1.5,152,Adenine Hemi,0.25,10.7.22,1,0.00818
1.5,152,Adenine Hemi,0.50,10.7.22,1,0.01334
1.5,152,Adenine Hemi,2.50,10.7.22,1,0.00254
1.5,152,Adenine Hemi,5.00,10.7.22,1,0.00251
1.5,152,Adenine Hemi,12.50,10.7.22,1,0.00494
1.5,152,Adenine Hemi,25.00,10.7.22,1,0.00108
2.0,WT,Adenine Hemi,0.00,10.7.22,1,0.00683
2.0,WT,Adenine Hemi,0.00,10.7.22,1,0.01210
2.0,WT,Adenine Hemi,0.03,10.7.22,1,0.01447
2.0,WT,Adenine Hemi,0.25,10.7.22,1,0.02190
2.0,WT,Adenine Hemi,0.50,10.7.22,1,0.02013
2.0,WT,Adenine Hemi,2.50,10.7.22,1,0.00603
2.0,WT,Adenine Hemi,5.00,10.7.22,1,0.00167
